ルートレベル,科目,参考書名,所要時間
日大,英語,中学版システム英単語（英日）,94.5
日大,英語,中学版システム英単語（日英）,63
日大,英語,英単語ターゲット1200 改訂版,168
日大,英語,システム英単語basic,168
日大,英語,"中学英語をもう一度
ひとつひとつわかりやすく。",56
日大,英語,"大岩のいちばんはじめの英文法
超基礎文法編",31.5
日大,英語,高校基礎英文法パターンドリル,42
日大,英語,高校英文読解をひとつひとつわかりやすく。,56
日大,英語,英文法ポラリス1,63
日大,英語,システム英単語,210
日大,英語,英単語ターゲット1900,210
日大,英語,必携英単語LEAP,210
日大,英語,速読英熟語,147
日大,英語,英熟語ターゲット1000,147
日大,英語,Vintage,147
日大,英語,"動画でわかる英文法
[読解入門編]",42
日大,英語,入門英文問題精講,84
日大,英語,"関正生のThe Rules
英語長文問題集 1",52.5
日大,英語,"関正生のThe Rules
英語長文問題集 2",52.5
日大,英語,英語長文ポラリス 1,52.5
日大,英語,"英文法ファイナル演習
ポラリス1",42
日大,英語,"大学入試
はじめの英文読解ドリル",42
日大,英語,英語長文ハイパートレーニングレベル1,52.5
MARCH,英語,英文解釈ポラリス1,42
MARCH,英語,"関正生のThe Rules
英語長文問題集 3",52.5
MARCH,英語,英語長文ポラリス 2,52.5
MARCH,英語,"国公立標準問題集
CanPass 英語",52.5
MARCH,英語,"大学入試英語長文プラス
記述式トレーニング問題集",52.5
MARCH,英語,"大学入試英語長文プラス
速読トレーニング問題集",52.5
早慶,英語,速読英単語上級編,157.5
早慶,英語,"出る順で最短合格！
英検準1級単熟語Ex",210
早慶,英語,大学入試英単語SPARTA3,105
早慶,英語,英文解釈ポラリス2,42
早慶,英語,"関正生のThe Rules
英語長文問題集 4",52.5
早慶,英語,"英語長文ポラリス 3
発展レベル",52.5
早慶,英語,"『世界一わかりやすい 早稲田の英語 合格講座』
『世界一わかりやすい 慶應の英語合格講座』",42
MARCH,英語,『英作文ハイパートレーニング和文英訳編』,63
MARCH,英語,"『英作文ハイパートレーニング
自由英作文編PLUS』",56
MARCH,英語,『基礎英作文問題精講』,56
MARCH,英語,"『改訂第２版 １カ月で攻略！ 
大学入学共通テスト英語リーディング』",14
日大,英語,"肘井学の読解のための英文法が面白いほどわかる本
（必修編）",56
早慶,英語,ポレポレ英文読解プロセス50,42
早慶,英語,東大英単語熟語鉄壁,315
日大,英語,日大追加長文,52.5
MARCH,英語,MARCH追加長文,52.5
早慶,英語,早慶追加長文,52.5
日大,英語,大学受験のための英文熟考［改訂版］上,26.25
MARCH,英語,大学受験のための英文熟考［改訂版］下,26.25
早慶,英語,大学入試飛躍のフレーズ　IDIOMATIC300,21
日大,英語,肘井学の英語会話問題が面白いほど解ける本,17.5
日大,英語,パラグラフリーディングのストラテジー①読み方・解き方編,7
早慶,英語,パラグラフリーディングのストラテジー②実戦編,87.5
MARCH,英語,英語整序問題精選600改訂版,35
MARCH,英語,関正生の英文法ファイナル演習POLARIS1　標準レベル,52.5
MARCH,英語,関正生の英文法ファイナル演習POLARIS2　応用レベル,52.5
早慶,英語,関正生の英文法ファイナル演習POLARIS3　発展レベル,52.5
早慶,英語,ポレポレ英文読解プロセス50,21
早慶,英語,スーパー講義　英文法・語法　正誤問題改訂版,35
MARCH,英語,英文法・語法問題　入試英語頻出ポイント218の征服　Next Stage,35
MARCH,英語,スクランブル英文法・語法Scramble　入試頻出テーマ261の征服,52.5
日大,英語,Vintage,35
早慶,英語,実力判定英文法ファイナル問題集,14
MARCH,英語,国公立標準問題集　CanPass　英語,87.5
日大,英語,英語長文レベル別問題集改訂版３標準編,52.5
日大,英語,はじめの英文読解ドリル,14
MARCH,英語,英語長文Plus 速読トレーニング問題集,43.75
日大,英語,日東駒専＆産近甲龍の英語,70
MARCH,英語,GMARCH＆関関同立の英語,87.5
MARCH,英語,英語長文ハイパートレーニング3難関編,52.5
日大,英語,英語長文ハイパートレーニング2標準編,52.5
早慶,英語,やっておきたい英語長文700,65.6
MARCH,英語,やっておきたい英語長文500,87.5
日大,英語,やっておきたい英語長文300,131.25
早慶,英語,レベル別英語長文問題Solution最新テーマ編３,43.75
MARCH,英語,レベル別英語長文問題Solution最新テーマ編２,43.75
日大,英語,レベル別英語長文問題Solution最新テーマ編１,43.75
早慶,英語,レベル別英語長文問題Solution３トップレベル,43.75
MARCH,英語,レベル別英語長文問題Solution ２ハイレベル,43.75
日大,英語,レベル別英語長文問題Solution１スタンダードレベル,43.75
日大,英語,関正生のThe Rules 英語長文問題集１入試基礎,52.5
日大,英語,１ヵ月で攻略共通テスト英語リスニング,21
日大,英語,１ヵ月で攻略共通テスト英語リスニング改訂版,21
日大,英語,１ヵ月で攻略共通テスト英語リーディング改訂第２版,5.5
日大,英語,１ヵ月で攻略共通テスト英語リスニング改訂第２版,21
基礎徹底,現代文,こわくない国語 文章の読解,56
基礎徹底,現代文,できた!中3国語 読解 (中学基礎がため100%),56
基礎徹底,現代文,中学国語力を伸ばす語彙 1700,45.5
日大,現代文,ゼロから覚醒はじめよう現代文,10.5
日大,現代文,新・現代文レベル別問題集 1 超基礎編,21
日大,現代文,船口のゼロから読み解く 最強の現代文,15.75
日大,現代文,入試現代文へのアクセス 基本編,35
日大,現代文,新・現代文レベル別問題集 2 初級編,26.25
日大,現代文,現代文キーワード読解,78.75
日大,現代文,入試漢字マスター1800+ (～読みB１）,52.5
日大,現代文,新・現代文レベル別問題集3 標準編,26.25
MARCH,現代文,現代文読解力の開発講座,52.5
MARCH,現代文,船口の最強の現代文記述 トレーニング,26.25
MARCH,現代文,新・現代文レベル別問題集4 中級編,26.25
MARCH,現代文,入試漢字マスター1800+(四字熟語A１～）,47.25
早慶,現代文,新版 現代文 読解の基礎講義,31.5
早慶,現代文,新・現代文レベル別問題集5 上級編,26.25
早慶,現代文,世界一わかりやすい 早稲田の国語 合格講座,21
早慶,現代文,早稲田の国語,26.25
,現代文,上級現代文Ⅰ　改訂版　国公立二次対策の本道。,87.5
早慶,現代文,上級現代文Ⅱ　最難関国立入試のハードルを越える。,36.75
日大,現代文,日東駒専＆産近甲龍の現代文,15.75
MARCH,現代文,GMARCH＆関関同立の現代文,21
日大,現代文,改訂版　田村のやさしく語る現代文,7
MARCH,現代文,国公立標準問題集　CanPass　現代文,35
日大,古文,読んで見て覚える 古文単語315,49
日大,古文,新・ゴロゴ古文単語,49
日大,古文,古文単語330 (いいずな書店),49
日大,古文,富井の古典文法を はじめからていねいに,28
日大,古文,ステップアップノート30 古典文法基礎ドリル,52.5
日大,古文,やさしくわかりやすい 古典文法,52.5
日大,古文,富井の古文読解をはじめからていねいに,21
日大,古文,古文レベル別問題集2 初級編,21
日大,古文,古文上達 基礎編 読解と演習45,52.5
日大,古文,古文レベル別問題集4 中級編,15.75
MARCH,古文,古文レベル別問題集5 上級編,28
MARCH,古文,読み解き古文単語,42
早慶,古文,早稲田の国語,28
早慶,古文,世界一わかりやすい 早稲田の国語 合格講座,14
日大,古文,岡本梨奈の古文POLARIS1基礎レベル,21
日大,古文,岡本梨奈の古文POLARIS2標準レベル,21
MARCH,古文,岡本梨奈の古文POLARIS3発展レベル,21
MARCH,古文,首都圏「難関」私大古文演習,21
MARCH,古文,GMARCH＆関関同立の古文,28
日大,古文,古文レベル別問題集3標準編,21
MARCH(地方国公立),古文,古文レベル別問題集6最上級編,42
MARCH,古文,国公立標準問題集　CanPass　古文,21
早慶,古文,古文レベル別問題集6 最上級編,28
早慶,古文,東京大学への国語,28
MARCH,古文,「有名」私大古文演習,21
東大,古文,古文上達　読解と演習56　入門から応用まで,43.75
日大,漢文,漢文早覚え速答法,52.5
日大,漢文,ステップアップノート10 漢文句形ドリルと演習,17.5
日大,漢文,マーク式基礎問題集 漢文,21
日大,漢文,岡本のたった3時間で漢文句法,14
MARCH,漢文,共通・センター過去問,14
早慶,漢文,改訂版 世界一わかりやすい 早稲田の国語 合格講座,10.5
早慶,漢文,早稲田の国語,10.5
MARCH,漢文,国公立標準問題集　CanPass　漢文,21
早慶,漢文,得点奪取　漢文,28
日大,政治経済,大学入学共通テスト政治・経済　集中講義,56
日大,政治経済,大学入学共通テストへの道　政治・経済,42
日大,政治経済,蔭山の共通テスト　政治・経済（問題集と併用）,49
MARCH,政治経済,私大攻略の政治・経済　要点整理と問題演習,56
MARCH,政治経済,政治・経済　計算＆論述特訓　問題集,126
MARCH,政治経済,大学入試　蔭山克秀の政治・経済が面白いほどわかる本（問題集と併用）,77
早慶,政治経済,政治・経済　標準問題精講,126
基礎徹底,世界史,伊藤のたった10時間で世界史探求古代～近世/近代～現代＋文化史,0
基礎徹底,世界史,小学生でもわかる世界史,0
日大,世界史,大学入試　茂木誠の世界史探求が面白いほどわかる本,112
日大,世界史,ストーリーでわかる世界史探求[古代・中世・近世]、[近代・現代],112
日大,世界史,時代と流れで覚える！世界史用語,168
日大,世界史,世界史　基礎問題精講,140
MARCH,世界史,大学入試　茂木誠の世界史探求が面白いほどわかる本,140
MARCH,世界史,ストーリーでわかる世界史探求[古代・中世・近世]、[近代・現代],140
MARCH,世界史,斎藤の世界史一問一答　探求対応版　★★★、★★のみ,112
MARCH,世界史,東進　世界史一問一答　完全版　★★★、★★のみ,112
MARCH,世界史,世界史用語マルチトレーニング,140
MARCH,世界史,HISTORIA 世界史精選問題集,84
早慶,世界史,大学入試　茂木誠の世界史探求が面白いほどわかる本,98
早慶,世界史,ストーリーでわかる世界史探求[古代・中世・近世]、[近代・現代],98
早慶,世界史,斎藤の世界史一問一答　探求対応版(★1まで),42
早慶,世界史,東進　世界史一問一答　完全版(★0まで),42
早慶,世界史,早稲田大学入試対策用　世界史問題集,
早慶,世界史,慶応義塾大学入試対策用　世界史問題集,
MARCH,世界史,段階式 世界史論述のトレーニン グ,84
MARCH,世界史,みるみる論述力がつく世界史,72
日大,日本史,金谷の日本史「なぜ」と「流れ」がわかる本,98
日大,日本史,時代と流れで覚える！日本史用語,147
日大,日本史,日本史 基礎問題精講,105
MARCH,日本史,詳説日本史,196
MARCH,日本史,.日本史探究 授業の実況中継①～④,196
MARCH,日本史,日本史一問一答　（完全版★★★、★★のみ）,157.5
MARCH,日本史,日本史用語2レベル定着 トレーニング,196
MARCH,日本史,実力をつける日本史100題,105
早慶,日本史,日本史一問一答 完全版 ★、★なしのみ,84
早慶,日本史,日本史史料問題一問一答　完全版,42
早慶,日本史,"早稲田大学入試対策用　日本史問題集
",84
早慶,日本史,"慶応義塾大学入試対策用　日本史問題集
",84
MARCH,日本史,スタートアップ日本史論述問 題集,105
MARCH,日本史,考える 日本史論述,189
基礎徹底,数学（文系）,やさしい中学数学,63
基礎徹底,数学（文系）,やさしい高校数学(数学Ⅰ・Ａ),105
基礎徹底,数学（文系）,高校これでわかる問題集 数学Ⅰ+A(入試問題除く),105
基礎徹底,数学（文系）,やさしい高校数学(数学Ⅱ・Ｂ),189
基礎徹底,数学（文系）,高校これでわかる問題集 数学Ⅱ+B(入試問題除く),147
日大,数学（文系）,数学Ⅰ・A 入門問題精講,175
日大,数学（文系）,数学Ⅰ・A 基礎問題精講,105
日大,数学（文系）,数学Ⅱ・B 入門問題精講,140
日大,数学（文系）,坂田アキラのベクトルが面白いほどわかる本,35
日大,数学（文系）,数学Ⅱ・B＋ベクトル 基礎問題精講,105
日大,数学（文系）,大学入試数学 落とせない必須 101題 スタンダードレベル,70
日大,数学（文系）,ドラゴン桜式 数学力ドリル 数学1・A,24.5
日大,数学（文系）,ドラゴン桜式 数学力ドリル 数学2・B・C,38.5
早慶,数学（文系）,文系の数学 重要事項完全習得編,126
早慶,数学（文系）,文系の数学 実践力向上編,126
早慶,数学（文系）,大学入試問題集ゴールデンルート 数学１A・２B応用編,84
基礎徹底,数学（理系）,やさしい高校数学(数学Ⅲ・C),168
MARCH,数学（理系）,数学Ⅲ 入門問題精講,175
MARCH,数学（理系）,数学Ⅲ 基礎問題精講,105
MARCH,数学（理系）,ドラゴン桜式 数学力ドリル 数学3,24.5
早慶,数学（理系）,数学の良問問題集 [数学Ⅰ+A+Ⅱ+B+Ⅲ],252
日大,数学（理系）,SuperQuick 数学Ⅱ＋B＋C(ベクトル),0
日大,数学（理系）,SuperQuick 数学Ⅰ＋A,0
早慶,数学（理系）,文系数学の良問プラチカ数学ⅠAⅡBC　4訂版,0
MARCH,数学（理系）,国公立標準問題集　CanPass　数学Ⅲ,105
MARCH,数学（理系）,国公立標準問題集　CanPass　数学ⅠAⅡB,126
,数学（理系）,数学Ⅲ　重要事項完全習得編,0
,数学（理系）,解法のエウレカ　数学IA,0
,数学（理系）,解法のエウレカ　数学ⅡBベクトル,0
早慶,数学（理系）,ハイレベル数学Ⅰ・A・Ⅱ・B・C[ベクトル]の完全攻略＜改訂版＞,126
早慶,数学（理系）,ハイレベル数学Ⅲ・C[平面上の曲線と 複素数平面]の完全攻略＜改訂版＞,126
基礎徹底,物理,高校とってもやさしい物理基礎,56
基礎徹底,物理,これでわかる物理基礎(入試問題除く),56
基礎徹底,物理,高校とってもやさしい物理,98
基礎徹底,物理,これでわかる物理(入試問題除く),98
基礎徹底,物理,秘伝の物理問題集 難易度1-3,84
基礎徹底,物理,ゴールデンルート基礎編,42
基礎徹底,物理,秘伝の物理問題集 難易度4-5,154
日大,物理,高校これでわかる基礎問題集　物理基礎,56
日大,物理,高校これでわかる基礎問題集　物理,98
日大,物理,物理(物理基礎・物理) 入門問題精講,98
日大,物理,全レベル問題集 物理 2 共通テストレベル,112
MARCH,物理,良問の風 物理,112
MARCH,物理,物理の質問91,126
早慶,物理,名問の森 物理 力学・熱・波動Ⅰ,84
早慶,物理,名問の森 物理 波動Ⅱ・電磁気・原子,84
,物理,ひとりで学べる秘伝の物理講義(力学、波動),
,物理,ひとりで学べる秘伝の物理講義(電磁気、熱、原子),
基礎徹底,化学,高校これでわかる基礎問題集 化学基礎,14
基礎徹底,化学,高校これでわかる基礎問題集 化学,35
基礎徹底,化学,化学［化学基礎・化学］入門問題精講,49
基礎徹底,化学,宇宙一わかりやすい高校化学 理論化学(別冊問題集),42
基礎徹底,化学,宇宙一わかりやすい高校化学 無機化学(別冊問題集),28
基礎徹底,化学,宇宙一わかりやすい高校化学 有機化学(別冊問題集),42
日大,化学,リードLightノート 化学基礎,35
日大,化学,リードLightノート 化学,70
日大,化学,化学［化学基礎・化学］基礎問題精講,28
日大,化学,全レベル問題集 化学 2 共通テストレベル,56
日大,化学,橋爪のゼロから劇的にわかる理論化学の授業　改訂版,56
日大,化学,橋爪のゼロから劇的にわかる無機・有機化学の授業　改訂版,84
日大,化学,宇宙一覚えやすい 化学反応式ハンドブック,63
日大,化学,視覚でとらえる フォトサイエンス 化学図録,
MARCH,化学,化学 重要問題集 化学基礎・化学　A問題,196
MARCH,化学,大学入試 最重要知識スピードチェック,42
MARCH,化学,改訂版 ここで差がつく 有機化合物の構造決定 問題の要点・演習,28
早慶,化学,化学 重要問題集 化学基礎・化学　B問題,140
基礎徹底,化学,高校とってもやさしい化学基礎,35
基礎徹底,化学,高校とってもやさしい化学,70
MARCH,化学,化学頻出！スタンダード問題 230選,
基礎徹底,化学,二見太郎の早わかり化学,
MARCH,化学,鎌田の理論化学の講義,35
MARCH,化学,福間の無機化学の講義,35
MARCH,化学,鎌田の有機化学の講義,35
早慶,化学,化学の新研究,
早慶,化学,化学の新演習,
早慶,化学,化学 標準問題精講,35
,生物,忘れてしまった高校生物を復習する本,
基礎徹底,生物,山川善輝の生物基礎が面白いほどわかる本,56
基礎徹底,生物,山川善輝の生物が面白いほどわかる本,112
基礎徹底,生物,(旧課程)大学入学共通テスト 生物基礎の点数が面白いほどとれる本,35
基礎徹底,生物,(旧課程)大学入学共通テスト 生物の点数が面白いほどとれる本,70
基礎徹底,生物,高校これでわかる基礎問題集 生物基礎,28
基礎徹底,生物,高校これでわかる基礎問題集 生物,42
基礎徹底,生物,生物［生物基礎・生物］入門問題精講,49
日大,生物,(旧課程)生物合格　77講,140
日大,生物,リードLightノート 生物基礎,49
日大,生物,リードLightノート 生物,77
日大,生物,(旧課程)生物問題集　合格177問　(★3のみ),63
MARCH,生物,"(旧課程)生物問題集　合格177問　(★2,1)",42
早慶,生物,(旧課程)生物問題集 合格100問　【定番難問編】,126
早慶,生物,難関校過去問シリーズ,
日大,生物,生物基礎の必修整理ノート,35
日大,生物,生物の必修整理ノート,70
MARCH,生物,生物[生物基礎・生物]　基礎問題精講,
早慶,生物,大森徹の最強講義117講 生物　生物基礎・生物,